5,0.0
2,Interface-Out,77.32
4,Interface-In,77.32
1,Interface-Out,78.23
3,Interface-In,78.23
4,Interface-Out,79.24
7,Output,79.24
0,Interface-Out,81.96
2,Interface-In,81.96
2,Interface-Out,82.79
4,Interface-In,82.79
6,Input,83.47
1,Interface-In,83.47
4,Interface-Out,84.9
7,Output,84.9
1,Interface-Out,86.48
3,Interface-In,86.48
0,Interface-Out,87.31
2,Interface-In,87.31
4,Interface-Out,87.97
7,Output,87.97
6,Input,90.0
1,Interface-In,90.0
1,Interface-Out,90.98
3,Interface-In,90.98
6,Input,92.5
0,Interface-In,92.5
2,Interface-Out,93.57
4,Interface-In,93.57
6,Input,95.0
1,Interface-In,95.0
4,Interface-Out,96.22
7,Output,96.22
6,Input,97.5
1,Interface-In,97.5
2,Interface-Out,98.68
4,Interface-In,98.68
1,Interface-Out,99.95
3,Interface-In,99.95
4,Interface-Out,101.82
7,Output,101.82
0,Interface-Out,103.27
2,Interface-In,103.27
1,Interface-Out,104.58
3,Interface-In,104.58
6,Input,105.16
0,Interface-In,105.16
6,Input,107.5
1,Interface-In,107.5
0,Interface-Out,108.53
2,Interface-In,108.53
1,Interface-Out,109.15
8,Storage,109.15
7,None,109.68
7,None,109.68
6,Input,110.0
0,Interface-In,110.0
7,None,111.17
7,None,111.17
7,None,111.25
7,None,111.25
8,Storage,112.5
3,Interface-In,112.5
1,Interface-Out,113.42
4,Interface-In,113.42
4,Interface-Out,114.01
7,Output,114.01
6,Input,115.0
1,Interface-In,115.0
4,Interface-Out,116.81
7,Output,116.81
1,Interface-Out,117.91
4,Interface-In,117.91
0,Interface-Out,119.23
2,Interface-In,119.23
2,Interface-Out,119.89
4,Interface-In,119.89
6,Input,120.57
0,Interface-In,120.57
1,Interface-Out,122.4
4,Interface-In,122.4
6,Input,122.99
1,Interface-In,122.99
0,Interface-Out,124.49
2,Interface-In,124.49
4,Interface-Out,125.3
7,Output,125.3
1,Interface-Out,126.89
7,Output,126.89
4,Interface-Out,128.13
7,Output,128.13
0,Interface-Out,129.74
2,Interface-In,129.74
4,Interface-Out,130.96
7,Output,130.96
6,Input,132.5
1,Interface-In,132.5
4,Interface-Out,133.79
7,Output,133.79
6,Input,135.0
0,Interface-In,135.0
2,Interface-Out,135.95
4,Interface-In,135.95
4,Interface-Out,136.61
7,Output,136.61
4,Interface-Out,139.38
7,Output,139.38
2,Interface-Out,140.52
4,Interface-In,140.52
1,Interface-Out,141.42
3,Interface-In,141.42
4,Interface-Out,142.28
7,Output,142.28
2,Interface-Out,144.63
4,Interface-In,144.63
6,Input,145.54
0,Interface-In,145.54
3,Interface-Out,147.23
4,Interface-In,147.23
4,Interface-Out,147.9
7,Output,147.9
2,Interface-Out,149.12
4,Interface-In,149.12
6,Input,150.03
0,Interface-In,150.03
0,Interface-Out,151.15
2,Interface-In,151.15
6,Input,152.5
1,Interface-In,152.5
2,Interface-Out,153.61
4,Interface-In,153.61
1,Interface-Out,154.24
7,Output,154.24
0,Interface-Out,156.41
2,Interface-In,156.41
6,Input,157.5
1,Interface-In,157.5
1,Interface-Out,158.6
3,Interface-In,158.6
6,Input,160.0
0,Interface-In,160.0
0,Interface-Out,161.76
2,Interface-In,161.76
6,Input,162.56
1,Interface-In,162.56
1,Interface-Out,163.66
3,Interface-In,163.66
3,Interface-Out,164.52
4,Interface-In,164.52
6,Input,165.2
0,Interface-In,165.2
2,Interface-Out,167.01
4,Interface-In,167.01
6,Input,167.68
1,Interface-In,167.68
1,Interface-Out,168.78
4,Interface-In,168.78
3,Interface-Out,169.75
4,Interface-In,169.75
4,Interface-Out,170.58
7,Output,170.58
2,Interface-Out,171.5
4,Interface-In,171.5
6,Input,172.5
1,Interface-In,172.5
1,Interface-Out,173.77
3,Interface-In,173.77
6,Input,175.0
1,Interface-In,175.0
4,Interface-Out,176.17
7,Output,176.17
6,Input,177.5
1,Interface-In,177.5
4,Interface-Out,179.07
7,Output,179.07
6,Input,180.0
1,Interface-In,180.0
4,Interface-Out,181.93
7,Output,181.93
0,Interface-Out,182.87
2,Interface-In,182.87
1,Interface-Out,183.71
4,Interface-In,183.71
3,Interface-Out,184.92
4,Interface-In,184.92
6,Input,185.6
0,Interface-In,185.6
6,Input,187.5
1,Interface-In,187.5
0,Interface-Out,188.53
2,Interface-In,188.53
2,Interface-Out,189.89
4,Interface-In,189.89
4,Interface-Out,190.57
7,Output,190.57
6,Input,192.5
1,Interface-In,192.5
0,Interface-Out,193.65
2,Interface-In,193.65
2,Interface-Out,194.48
4,Interface-In,194.48
6,Input,195.16
1,Interface-In,195.16
1,Interface-Out,197.25
3,Interface-In,197.25
0,Interface-Out,198.83
2,Interface-In,198.83
2,Interface-Out,199.7
4,Interface-In,199.7
1,Interface-Out,201.61
7,Output,201.61
6,Input,202.5
1,Interface-In,202.5
0,Interface-Out,204.22
2,Interface-In,204.22
2,Interface-Out,204.92
4,Interface-In,204.92
1,Interface-Out,206.1
4,Interface-In,206.1
4,Interface-Out,207.37
7,Output,207.37
0,Interface-Out,209.61
2,Interface-In,209.61
2,Interface-Out,210.43
4,Interface-In,210.43
4,Interface-Out,211.11
7,Output,211.11
6,Input,212.5
1,Interface-In,212.5
0,Interface-Out,214.99
2,Interface-In,214.99
1,Interface-Out,215.61
7,Output,215.61
2,Interface-Out,216.44
4,Interface-In,216.44
6,Input,217.5
0,Interface-In,217.5
4,Interface-Out,218.69
7,Output,218.69
1,Interface-Out,219.7
4,Interface-In,219.7
0,Interface-Out,220.53
2,Interface-In,220.53
4,Interface-Out,221.52
7,Output,221.52
6,Input,222.5
1,Interface-In,222.5
1,Interface-Out,224.06
7,Output,224.06
6,Input,225.0
1,Interface-In,225.0
2,Interface-Out,226.4
4,Interface-In,226.4
4,Interface-Out,227.18
7,Output,227.18
1,Interface-Out,228.68
3,Interface-In,228.68
6,Input,230.0
1,Interface-In,230.0
2,Interface-Out,231.63
4,Interface-In,231.63
6,Input,232.5
0,Interface-In,232.5
1,Interface-Out,233.57
4,Interface-In,233.57
3,Interface-Out,234.73
4,Interface-In,234.73
4,Interface-Out,235.67
7,Output,235.67
0,Interface-Out,236.62
2,Interface-In,236.62
6,Input,237.5
0,Interface-In,237.5
6,Input,240.0
1,Interface-In,240.0
4,Interface-Out,241.33
7,Output,241.33
6,Input,242.5
1,Interface-In,242.5
4,Interface-Out,244.09
7,Output,244.09
6,Input,245.0
1,Interface-In,245.0
1,Interface-Out,246.51
7,Output,246.51
6,Input,247.5
1,Interface-In,247.5
0,Interface-Out,248.63
2,Interface-In,248.63
4,Interface-Out,249.75
7,Output,249.75
1,Interface-Out,251.0
7,Output,251.0
6,Input,252.5
0,Interface-In,252.5
0,Interface-Out,253.95
2,Interface-In,253.95
6,Input,255.0
1,Interface-In,255.0
6,Input,257.5
1,Interface-In,257.5
4,Interface-Out,258.94
7,Output,258.94
2,Interface-Out,259.97
4,Interface-In,259.97
1,Interface-Out,260.88
3,Interface-In,260.88
6,Input,262.5
1,Interface-In,262.5
4,Interface-Out,264.44
7,Output,264.44
2,Interface-Out,265.45
4,Interface-In,265.45
3,Interface-Out,266.69
4,Interface-In,266.69
6,Input,267.5
0,Interface-In,267.5
1,Interface-Out,268.96
4,Interface-In,268.96
6,Input,270.0
1,Interface-In,270.0
2,Interface-Out,272.12
4,Interface-In,272.12
4,Interface-Out,272.75
7,Output,272.75
0,Interface-Out,274.91
2,Interface-In,274.91
4,Interface-Out,275.74
7,Output,275.74
6,Input,277.5
1,Interface-In,277.5
4,Interface-Out,278.51
7,Output,278.51
6,Input,280.0
1,Interface-In,280.0
1,Interface-Out,282.43
3,Interface-In,282.43
0,Interface-Out,283.42
2,Interface-In,283.42
3,Interface-Out,284.07
4,Interface-In,284.07
6,Input,285.0
8,Storage,285.0
7,None,286.23
7,None,286.23
4,Interface-Out,286.41
7,Output,286.41
7,None,287.18
7,None,287.18
8,Storage,287.32
1,Interface-In,287.32
3,Interface-Out,288.45
4,Interface-In,288.45
2,Interface-Out,289.3
4,Interface-In,289.3
6,Input,290.0
0,Interface-In,290.0
1,Interface-Out,291.41
3,Interface-In,291.41
6,Input,292.5
1,Interface-In,292.5
0,Interface-Out,294.19
2,Interface-In,294.19
2,Interface-Out,294.83
4,Interface-In,294.83
4,Interface-Out,295.83
7,Output,295.83
3,Interface-Out,297.34
4,Interface-In,297.34
7,None,298.7
7,None,298.7
4,Interface-Out,299.4
7,Output,299.4
2,Interface-Out,300.3
4,Interface-In,300.3
1,Interface-Out,301.21
4,Interface-In,301.21
7,None,301.8
7,None,301.8
3,Interface-Out,301.93
4,Interface-In,301.93
4,Interface-Out,302.61
7,Output,302.61
7,None,303.52
7,None,303.52
7,None,303.7
7,None,303.7
0,Interface-Out,304.0
2,Interface-In,304.0
7,None,304.82
7,None,304.82
1,Interface-Out,304.88
7,Output,304.88
4,Interface-Out,305.7
7,Output,305.7
7,None,306.84
7,None,306.84
6,Input,307.5
0,Interface-In,307.5
7,None,308.45
7,None,308.45
7,None,308.75
7,None,308.75
7,None,308.75
7,None,308.75
1,Interface-Out,309.37
4,Interface-In,309.37
6,Input,310.0
0,Interface-In,310.0
2,Interface-Out,311.07
4,Interface-In,311.07
6,Input,312.5
8,Storage,312.5
7,None,313.73
7,None,313.73
1,Interface-Out,313.86
7,Output,313.86
8,Storage,314.62
1,Interface-In,314.62
7,None,316.11
7,None,316.11
4,Interface-Out,316.48
7,Output,316.48
7,None,317.34
7,None,317.34
6,Input,317.5
8,Storage,317.5
7,None,318.61
7,None,318.61
8,Storage,318.87
1,Interface-In,318.87
7,None,319.21
7,None,319.21
6,Input,320.0
0,Interface-In,320.0
7,None,321.03
7,None,321.03
4,Interface-Out,322.44
7,Output,322.44
1,Interface-Out,323.33
7,Output,323.33
7,None,324.4
7,None,324.4
7,None,324.69
7,None,324.69
6,Input,325.0
8,Storage,325.0
7,None,326.11
7,None,326.11
1,Interface-Out,327.33
4,Interface-In,327.33
8,Storage,327.85
1,Interface-In,327.85
7,None,328.29
7,None,328.29
7,None,328.73
7,None,328.73
2,Interface-Out,329.91
4,Interface-In,329.91
7,None,330.54
7,None,330.54
7,None,330.67
7,None,330.67
7,None,331.17
7,None,331.17
4,Interface-Out,331.42
7,Output,331.42
0,Interface-Out,332.32
2,Interface-In,332.32
6,Input,333.15
8,Storage,333.15
7,None,334.38
7,None,334.38
7,None,334.64
7,None,334.64
6,Input,335.0
0,Interface-In,335.0
7,None,336.17
7,None,336.17
1,Interface-Out,336.31
3,Interface-In,336.31
7,None,336.89
7,None,336.89
6,Input,337.5
8,Storage,337.5
7,None,338.73
7,None,338.73
7,None,338.75
7,None,338.75
7,None,339.09
7,None,339.09
6,Input,340.0
8,Storage,340.0
8,Storage,341.33
1,Interface-In,341.33
7,None,341.67
7,None,341.67
3,Interface-Out,342.12
4,Interface-In,342.12
4,Interface-Out,342.75
7,Output,342.75
2,Interface-Out,343.66
4,Interface-In,343.66
7,None,344.56
7,None,344.56
6,Input,345.0
8,Storage,345.0
7,None,346.23
7,None,346.23
7,None,346.31
7,None,346.31
4,Interface-Out,346.31
7,Output,346.31
7,None,347.08
7,None,347.08
6,Input,347.5
0,Interface-In,347.5
7,None,348.45
7,None,348.45
7,None,348.71
7,None,348.71
4,Interface-Out,349.24
7,Output,349.24
6,Input,350.14
1,Interface-In,350.14
7,None,351.12
7,None,351.12
7,None,351.66
7,None,351.66
7,None,352.0
7,None,352.0
6,Input,352.5
0,Interface-In,352.5
7,None,353.53
7,None,353.53
0,Interface-Out,353.61
2,Interface-In,353.61
1,Interface-Out,354.41
7,Output,354.41
6,Input,355.24
0,Interface-In,355.24
7,None,356.19
7,None,356.19
4,Interface-Out,356.54
7,Output,356.54
7,None,357.44
7,None,357.44
6,Input,357.5
8,Storage,357.5
7,None,358.61
7,None,358.61
1,Interface-Out,358.76
7,Output,358.76
4,Interface-Out,359.52
7,Output,359.52
7,None,360.66
7,None,360.66
7,None,361.05
7,None,361.05
7,None,361.72
7,None,361.72
6,Input,362.5
8,Storage,362.5
7,None,363.61
7,None,363.61
7,None,363.71
7,None,363.71
7,None,363.95
7,None,363.95
4,Interface-Out,364.05
7,Output,364.05
7,None,364.82
7,None,364.82
2,Interface-Out,364.86
4,Interface-In,364.86
7,None,365.77
7,None,365.77
7,None,366.23
7,None,366.23
6,Input,367.5
8,Storage,367.5
7,None,368.73
7,None,368.73
4,Interface-Out,369.33
7,Output,369.33
2,Interface-Out,370.1
4,Interface-In,370.1
7,None,371.0
7,None,371.0
7,None,371.23
7,None,371.23
7,None,372.5
7,None,372.5
4,Interface-Out,374.57
7,Output,374.57
7,None,375.47
7,None,375.47
7,None,375.65
7,None,375.65
7,None,375.99
7,None,375.99
7,None,377.5
7,None,377.5
4,Interface-Out,379.55
7,Output,379.55
2,Interface-Out,380.68
4,Interface-In,380.68
7,None,381.59
7,None,381.59
7,None,382.16
7,None,382.16
1,Interface-Out,382.46
4,Interface-In,382.46
7,None,383.04
7,None,383.04
4,Interface-Out,385.15
7,Output,385.15
6,Input,386.06
8,Storage,386.06
7,None,387.17
7,None,387.17
7,None,387.45
7,None,387.45
6,Input,387.74
1,Interface-In,387.74
7,None,388.94
7,None,388.94
6,Input,389.34
0,Interface-In,389.34
7,None,390.37
7,None,390.37
4,Interface-Out,390.91
7,Output,390.91
7,None,391.81
7,None,391.81
7,None,391.96
7,None,391.96
3,Interface-Out,392.97
4,Interface-In,392.97
7,None,393.87
7,None,393.87
4,Interface-Out,395.52
7,Output,395.52
7,None,396.43
7,None,396.43
7,None,396.51
7,None,396.51
6,Input,398.45
1,Interface-In,398.45
7,None,399.43
7,None,399.43
7,None,399.8
7,None,399.8
7,None,400.3
7,None,400.3
1,Interface-Out,400.42
3,Interface-In,400.42
7,None,401.12
7,None,401.12
6,Input,401.62
0,Interface-In,401.62
7,None,402.68
7,None,402.68
7,None,402.78
7,None,402.78
1,Interface-Out,404.91
3,Interface-In,404.91
7,None,405.49
7,None,405.49
6,Input,405.72
1,Interface-In,405.72
4,Interface-Out,406.82
7,Output,406.82
6,Input,407.68
0,Interface-In,407.68
7,None,408.62
7,None,408.62
1,Interface-Out,409.4
3,Interface-In,409.4
7,None,409.98
7,None,409.98
6,Input,410.32
1,Interface-In,410.32
2,Interface-Out,411.42
4,Interface-In,411.42
7,None,412.05
7,None,412.05
7,None,412.56
7,None,412.56
7,None,412.56
7,None,412.56
1,Interface-Out,413.89
3,Interface-In,413.89
7,None,414.47
7,None,414.47
6,Input,415.21
1,Interface-In,415.21
3,Interface-Out,416.31
4,Interface-In,416.31
2,Interface-Out,416.95
4,Interface-In,416.95
7,None,417.63
7,None,417.63
1,Interface-Out,418.38
3,Interface-In,418.38
7,None,418.96
7,None,418.96
8,Storage,419.3
1,Interface-In,419.3
7,None,419.73
7,None,419.73
6,Input,419.75
0,Interface-In,419.75
6,Input,420.78
0,Interface-In,420.78
0,Interface-Out,421.78
2,Interface-In,421.78
7,None,422.58
7,None,422.58
1,Interface-Out,422.87
4,Interface-In,422.87
7,None,423.45
7,None,423.45
8,Storage,424.07
1,Interface-In,424.07
3,Interface-Out,424.5
4,Interface-In,424.5
4,Interface-Out,425.14
7,Output,425.14
7,None,426.04
7,None,426.04
0,Interface-Out,426.28
2,Interface-In,426.28
7,None,427.1
7,None,427.1
1,Interface-Out,427.36
4,Interface-In,427.36
7,None,427.94
7,None,427.94
8,Storage,428.37
1,Interface-In,428.37
7,None,428.8
7,None,428.8
6,Input,429.28
0,Interface-In,429.28
7,None,430.31
7,None,430.31
7,None,430.71
7,None,430.71
7,None,430.71
7,None,430.71
0,Interface-Out,431.73
2,Interface-In,431.73
8,Storage,432.53
1,Interface-In,432.53
2,Interface-Out,432.96
4,Interface-In,432.96
6,Input,433.6
8,Storage,433.6
7,None,434.83
7,None,434.83
4,Interface-Out,435.09
7,Output,435.09
7,None,435.86
7,None,435.86
1,Interface-Out,436.34
7,Output,436.34
6,Input,437.4
8,Storage,437.4
2,Interface-Out,438.52
4,Interface-In,438.52
0,Interface-Out,439.06
2,Interface-In,439.06
6,Input,439.71
0,Interface-In,439.71
4,Interface-Out,440.78
7,Output,440.78
8,Storage,441.67
1,Interface-In,441.67
6,Input,442.57
0,Interface-In,442.57
7,None,443.6
7,None,443.6
7,None,443.71
7,None,443.71
7,None,444.28
7,None,444.28
7,None,444.28
7,None,444.28
2,Interface-Out,444.93
4,Interface-In,444.93
1,Interface-Out,445.6
7,Output,445.6
6,Input,446.43
8,Storage,446.43
7,None,447.54
7,None,447.54
7,None,447.87
7,None,447.87
7,None,448.21
7,None,448.21
4,Interface-Out,449.17
7,Output,449.17
7,None,449.94
7,None,449.94
7,None,450.0
7,None,450.0
7,None,450.1
7,None,450.1
7,None,450.39
7,None,450.39
6,Input,452.0
1,Interface-In,452.0
7,None,452.98
7,None,452.98
1,Interface-Out,454.3
4,Interface-In,454.3
4,Interface-Out,455.0
7,Output,455.0
0,Interface-Out,455.9
2,Interface-In,455.9
7,None,456.73
7,None,456.73
4,Interface-Out,458.56
7,Output,458.56
6,Input,459.47
1,Interface-In,459.47
7,None,460.45
7,None,460.45
7,None,460.66
7,None,460.66
7,None,460.99
7,None,460.99
2,Interface-Out,461.95
4,Interface-In,461.95
7,None,462.59
7,None,462.59
1,Interface-Out,463.28
7,Output,463.28
6,Input,464.1
1,Interface-In,464.1
7,None,465.08
7,None,465.08
0,Interface-Out,465.59
2,Interface-In,465.59
7,None,466.21
7,None,466.21
4,Interface-Out,466.22
7,Output,466.22
7,None,467.12
7,None,467.12
7,None,467.45
7,None,467.45
1,Interface-Out,467.77
3,Interface-In,467.77
7,None,468.59
7,None,468.59
7,None,469.16
7,None,469.16
7,None,469.69
7,None,469.69
4,Interface-Out,471.01
7,Output,471.01
7,None,471.92
7,None,471.92
7,None,472.11
7,None,472.11
1,Interface-Out,472.26
3,Interface-In,472.26
7,None,473.08
7,None,473.08
7,None,473.65
7,None,473.65
3,Interface-Out,473.82
4,Interface-In,473.82
7,None,474.5
7,None,474.5
4,Interface-Out,476.01
7,Output,476.01
1,Interface-Out,476.92
7,Output,476.92
6,Input,477.98
8,Storage,477.98
7,None,479.1
7,None,479.1
7,None,479.38
7,None,479.38
7,None,479.95
7,None,479.95
7,None,479.95
7,None,479.95
1,Interface-Out,481.24
3,Interface-In,481.24
4,Interface-Out,481.76
7,Output,481.76
2,Interface-Out,482.67
4,Interface-In,482.67
7,None,483.58
7,None,483.58
4,Interface-Out,484.5
7,Output,484.5
7,None,485.41
7,None,485.41
1,Interface-Out,485.73
7,Output,485.73
6,Input,486.79
8,Storage,486.79
4,Interface-Out,487.91
7,Output,487.91
6,Input,488.67
0,Interface-In,488.67
7,None,489.62
7,None,489.62
7,None,489.79
7,None,489.79
1,Interface-Out,490.22
7,Output,490.22
6,Input,491.04
8,Storage,491.04
7,None,492.16
7,None,492.16
7,None,492.4
7,None,492.4
7,None,492.4
7,None,492.4
4,Interface-Out,494.39
7,Output,494.39
1,Interface-Out,495.15
3,Interface-In,495.15
7,None,495.98
7,None,495.98
7,None,496.46
7,None,496.46
4,Interface-Out,498.92
7,Output,498.92
6,Input,499.83
1,Interface-In,499.83
7,None,500.81
7,None,500.81
3,Interface-Out,501.2
4,Interface-In,501.2
7,None,501.84
7,None,501.84
1,Interface-Out,503.69
7,Output,503.69
6,Input,504.51
8,Storage,504.51
4,Interface-Out,505.63
7,Output,505.63
0,Interface-Out,506.39
2,Interface-In,506.39
7,None,507.22
7,None,507.22
1,Interface-Out,508.18
4,Interface-In,508.18
7,None,508.76
7,None,508.76
0,Interface-Out,510.17
2,Interface-In,510.17
7,None,510.82
7,None,510.82
6,Input,511.2
0,Interface-In,511.2
7,None,512.27
7,None,512.27
4,Interface-Out,512.33
7,Output,512.33
2,Interface-Out,513.22
4,Interface-In,513.22
6,Input,514.13
8,Storage,514.13
7,None,515.36
7,None,515.36
7,None,515.79
7,None,515.79
2,Interface-Out,517.03
4,Interface-In,517.03
7,None,517.57
7,None,517.57
4,Interface-Out,517.69
7,Output,517.69
6,Input,518.6
0,Interface-In,518.6
7,None,519.54
7,None,519.54
6,Input,519.66
0,Interface-In,519.66
7,None,520.66
7,None,520.66
4,Interface-Out,521.25
7,Output,521.25
0,Interface-Out,522.15
2,Interface-In,522.15
7,None,522.97
7,None,522.97
6,Input,523.21
0,Interface-In,523.21
7,None,524.28
7,None,524.28
7,None,524.38
7,None,524.38
7,None,524.94
7,None,524.94
7,None,524.94
7,None,524.94
1,Interface-Out,526.14
4,Interface-In,526.14
7,None,526.72
7,None,526.72
6,Input,527.01
1,Interface-In,527.01
7,None,528.11
7,None,528.11
7,None,528.15
7,None,528.15
7,None,528.15
7,None,528.15
2,Interface-Out,528.2
4,Interface-In,528.2
7,None,528.83
7,None,528.83
7,None,529.05
7,None,529.05
4,Interface-Out,530.58
7,Output,530.58
6,Input,531.48
8,Storage,531.48
7,None,532.6
7,None,532.6
4,Interface-Out,533.51
7,Output,533.51
7,None,534.27
7,None,534.27
2,Interface-Out,534.28
4,Interface-In,534.28
7,None,535.18
7,None,535.18
7,None,535.41
7,None,535.41
6,Input,535.94
1,Interface-In,535.94
7,None,537.04
7,None,537.04
7,None,537.34
7,None,537.34
4,Interface-Out,538.75
7,Output,538.75
1,Interface-Out,539.61
3,Interface-In,539.61
7,None,540.43
7,None,540.43
7,None,541.0
7,None,541.0
7,None,541.53
7,None,541.53
4,Interface-Out,541.58
7,Output,541.58
7,None,542.48
7,None,542.48
7,None,543.02
7,None,543.02
7,None,543.55
7,None,543.55
1,Interface-Out,544.1
3,Interface-In,544.1
4,Interface-Out,544.92
7,Output,544.92
7,None,545.83
7,None,545.83
7,None,546.0
7,None,546.0
7,None,546.34
7,None,546.34
1,Interface-Out,548.59
7,Output,548.59
4,Interface-Out,549.65
7,Output,549.65
0,Interface-Out,550.79
2,Interface-In,550.79
7,None,551.61
7,None,551.61
4,Interface-Out,552.21
7,Output,552.21
7,None,553.11
7,None,553.11
7,None,553.37
7,None,553.37
7,None,553.66
7,None,553.66
8,Storage,554.76
1,Interface-In,554.76
4,Interface-Out,555.66
7,Output,555.66
7,None,556.52
7,None,556.52
7,None,556.59
7,None,556.59
2,Interface-Out,556.84
4,Interface-In,556.84
7,None,557.74
7,None,557.74
4,Interface-Out,557.77
7,Output,557.77
7,None,558.68
7,None,558.68
3,Interface-Out,558.89
4,Interface-In,558.89
7,None,559.79
7,None,559.79
0,Interface-Out,560.25
2,Interface-In,560.25
7,None,560.9
7,None,560.9
4,Interface-Out,561.4
7,Output,561.4
2,Interface-Out,562.31
4,Interface-In,562.31
6,Input,563.22
8,Storage,563.22
7,None,564.45
7,None,564.45
7,None,564.53
7,None,564.53
7,None,565.09
7,None,565.09
7,None,565.09
7,None,565.09
1,Interface-Out,566.55
7,Output,566.55
4,Interface-Out,567.31
7,Output,567.31
7,None,568.45
7,None,568.45
6,Input,568.52
0,Interface-In,568.52
7,None,569.47
7,None,569.47
4,Interface-Out,569.83
7,Output,569.83
7,None,570.72
7,None,570.72
7,None,570.86
7,None,570.86
1,Interface-Out,571.04
4,Interface-In,571.04
6,Input,571.86
8,Storage,571.86
7,None,573.1
7,None,573.1
7,None,573.58
7,None,573.58
7,None,573.58
7,None,573.58
4,Interface-Out,575.49
7,Output,575.49
8,Storage,576.25
1,Interface-In,576.25
0,Interface-Out,577.15
2,Interface-In,577.15
7,None,577.77
7,None,577.77
4,Interface-Out,578.42
7,Output,578.42
7,None,579.32
7,None,579.32
1,Interface-Out,580.02
3,Interface-In,580.02
7,None,580.84
7,None,580.84
6,Input,581.51
0,Interface-In,581.51
7,None,582.58
7,None,582.58
7,None,582.68
7,None,582.68
2,Interface-Out,583.0
4,Interface-In,583.0
7,None,583.66
7,None,583.66
1,Interface-Out,584.51
4,Interface-In,584.51
7,None,585.09
7,None,585.09
6,Input,585.11
1,Interface-In,585.11
3,Interface-Out,586.21
4,Interface-In,586.21
7,None,586.84
7,None,586.84
7,None,587.07
7,None,587.07
7,None,587.63
7,None,587.63
7,None,587.63
7,None,587.63
1,Interface-Out,589.0
4,Interface-In,589.0
7,None,589.58
7,None,589.58
6,Input,589.64
1,Interface-In,589.64
2,Interface-Out,590.74
4,Interface-In,590.74
7,None,591.37
7,None,591.37
7,None,591.62
7,None,591.62
7,None,591.95
7,None,591.95
4,Interface-Out,592.14
7,Output,592.14
7,None,593.04
7,None,593.04
1,Interface-Out,593.49
3,Interface-In,593.49
6,Input,594.31
8,Storage,594.31
6,Input,595.55
0,Interface-In,595.55
7,None,596.71
7,None,596.71
2,Interface-Out,597.17
4,Interface-In,597.17
7,None,597.84
7,None,597.84
7,None,597.9
7,None,597.9
1,Interface-Out,597.98
3,Interface-In,597.98
7,None,598.56
7,None,598.56
6,Input,599.54
1,Interface-In,599.54
7,None,600.64
7,None,600.64
7,None,600.78
7,None,600.78
7,None,601.35
7,None,601.35
7,None,601.35
7,None,601.35
2,Interface-Out,601.76
4,Interface-In,601.76
7,None,602.4
7,None,602.4
7,None,602.43
7,None,602.43
1,Interface-Out,602.47
3,Interface-In,602.47
7,None,603.05
7,None,603.05
6,Input,603.29
1,Interface-In,603.29
7,None,604.39
7,None,604.39
7,None,604.76
7,None,604.76
7,None,605.1
7,None,605.1
4,Interface-Out,606.12
7,Output,606.12
7,None,606.98
7,None,606.98
